	D21BC	D21PT	D21R6	D21R7
AC133134.1	1	0	2	0
LINC01023	5	3	7	3
FER	190	228	326	303
AC034207.1	0	0	2	2
AC008871.1	2	0	1	1
AC109481.1	0	1	3	0
RNU6-47P	0	0	0	0
GJA1P1	3	6	15	12
AC008467.1	6	10	11	20
PJA2	1209	1201	1558	1179
AC010625.1	0	0	0	0
AC091917.3	0	0	0	0
AC091917.2	0	0	0	0
AC091917.1	0	0	0	0
KRT18P42	0	0	0	0
AC012603.1	0	0	0	2
MAN2A1	618	613	942	1033
RN7SKP230	2	8	13	15
AC008417.1	1	1	2	2
LINC01848	0	0	0	1
PGAM5P1	0	0	0	0
TMEM232	5	5	22	9
MIR548F3	0	0	0	0
SLC25A46	299	266	533	469
AC008782.1	0	0	0	0
BCLAF1P1	1	0	1	0
AC010395.1	0	0	0	0
AC010395.2	0	1	0	0
TSLP	2	7	3	3
AC008572.1	0	0	0	0
WDR36	211	223	339	244
AC010468.3	0	0	0	0
AC010468.1	11	4	6	6
CAMK4	2	11	7	6
AC010468.2	0	0	0	0
AC010275.1	0	0	0	0
STARD4	51	51	85	86
STARD4-AS1	56	101	107	78
HMGN1P13	1	1	1	0
AC008967.1	0	0	0	0
NREP	230	220	294	178
RN7SKP57	0	0	0	0
HMGN1P14	0	0	0	0
NREP-AS1	0	0	0	0
EPB41L4A	22	24	29	26
EPB41L4A-AS1	207	204	162	143
SNORA13	0	1	4	2
AC010261.1	0	0	0	0
AC010261.2	0	0	0	0
AC104126.1	0	1	0	0
AC010265.1	0	0	1	0
EPB41L4A-AS2	2	2	0	1
HMGB3P16	0	0	0	0
AC137549.1	0	0	0	0
LINC02200	0	0	0	0
APC	252	302	529	389
CBX3P3	2	0	3	4
RNU6-482P	0	0	0	0
AC008575.1	0	0	0	0
SRP19	26	42	49	67
REEP5	355	365	615	528
XBP1P1	1	3	1	2
ZRSR2P1	0	0	0	0
DCP2	317	283	263	246
MCC	350	390	412	344
AC079465.1	1	4	4	2
TSSK1B	0	0	3	0
RNU4ATAC13P	0	0	0	0
YTHDC2	218	179	240	204
AC106789.1	0	0	0	0
RN7SKP89	0	0	0	0
KCNN2	0	2	0	0
AC010230.1	0	0	0	0
LINC01957	0	0	0	0
AC094104.2	0	0	0	0
AC094104.1	0	0	0	0
TRIM36	1	1	2	1
TRIM36-IT1	0	0	0	0
AC008494.2	0	0	0	0
PGGT1B	120	136	196	142
AC008494.3	22	21	34	21
AC008494.1	1	0	1	0
CCDC112	15	15	37	28
HMGN1P15	1	0	0	0
CTNNA1P1	0	0	1	0
AK3P4	0	0	0	0
AC008628.2	0	0	0	0
AC008628.1	0	0	0	0
CCT5P1	0	1	3	5
FEM1C	193	229	337	276
TMED7-TICAM2	0	0	0	4
TICAM2	13	10	19	18
AC010226.1	147	133	197	130
TMED7	425	401	528	298
AC008549.2	0	0	0	0
AC008549.1	0	0	0	0
AC008549.3	0	0	0	1
RNU2-49P	0	0	0	0
CDO1	183	142	807	584
ATG12	201	236	399	315
AP3S1	357	359	537	365
LVRN	10	6	11	7
DDX43P1	0	0	1	1
ARL14EPL	0	0	0	0
AC034236.1	4	2	2	2
AC034236.3	0	2	1	2
AC034236.2	17	16	27	20
COMMD10	53	48	73	69
RNU6-644P	0	0	0	0
HMGN2P27	0	0	2	5
AC018752.1	0	2	3	0
SEMA6A	30	30	39	38
SEMA6A-AS1	2	5	5	4
RPS14P8	14	13	10	11
SEMA6A-AS2	0	0	2	0
RPS17P2	0	0	0	0
LINC02214	0	0	0	0
AC010267.1	0	0	0	0
AC093534.1	0	0	0	0
AC093534.2	0	0	0	0
RPL35AP15	0	0	0	0
LINC00992	0	0	0	0
AC114322.1	0	0	0	0
RPL7L1P4	0	0	0	0
LINC02147	1	1	0	0
LINC02148	0	0	0	0
LINC02208	1	0	1	0
LINC02216	0	0	0	0
LINC02215	0	0	0	0
RNU7-34P	0	0	0	0
AC093206.1	0	0	0	0
DTWD2	28	24	36	16
PTMAP2	4	7	1	9
MIR1244-2	0	0	1	0
AC008629.1	0	1	2	0
RNU6-373P	0	0	0	0
AC008629.2	0	0	0	0
AC008629.3	0	0	0	0
DMXL1	331	384	641	522
AC118465.1	1	0	0	0
LAMTOR3P2	1	0	0	0
RNU6-701P	0	0	0	0
MIR5706	0	0	1	1
TNFAIP8	54	55	201	177
RN7SL174P	1	0	1	0
RNA5SP190	0	0	0	0
HSD17B4	548	431	1024	901
AC010409.1	0	0	0	0
FABP5P6	0	0	0	0
FAM170A	0	0	0	0
AC010409.2	0	0	0	0
AC008550.1	2	0	1	0
AC008574.1	0	0	0	0
RNU6-718P	0	0	0	0
AC113418.1	0	0	0	0
PRR16	37	33	137	117
PRELID3BP8	0	0	2	0
RNU4-69P	0	0	0	0
AC114284.1	2	3	4	5
AC008565.1	0	0	0	0
AC113352.1	0	0	0	0
AC010350.1	0	0	0	0
AC008568.1	1	1	0	0
AC008568.2	0	0	0	0
RPL23AP44	0	0	0	0
AC106806.1	0	0	0	0
AC106806.2	0	0	0	0
FTMT	0	0	0	0
SRFBP1	244	383	210	151
LOX	2026	3323	1427	959
AC010255.1	1	0	0	0
ZNF474	3	3	8	3
AC010255.3	0	0	1	0
AC010255.2	0	0	0	0
AC113349.2	0	0	0	0
SNCAIP	29	40	61	25
AC113349.1	0	0	1	0
AC119150.1	1	1	0	0
AC022101.1	4	6	13	3
LINC02201	1	0	0	0
ARGFXP1	0	0	0	0
SNX2	252	247	517	375
AC008669.1	5	1	7	6
SNX24	212	211	246	169
RN7SL689P	5	0	2	2
PPIC	1321	1061	1164	887
AC106786.2	221	178	249	146
RN7SL711P	3	3	1	4
AC106786.1	17	12	5	3
PRDM6	59	78	26	17
AC010493.1	0	0	0	0
CEP120	123	151	243	164
KRT8P33	6	8	12	6
HMGB3P17	0	0	1	1
AC026422.1	0	0	0	0
CSNK1G3	297	286	391	257
KRT18P16	0	0	0	0
LINC01170	0	1	0	1
HMGB1P29	0	0	0	0
AC016556.1	0	0	0	0
AC025465.2	0	0	0	0
AC025465.4	0	0	0	0
AC025465.3	0	0	0	0
AC025465.1	0	0	0	0
ZNF608	176	239	296	290
AC112196.1	1	5	3	1
AC113398.2	1	0	3	1
AC113398.1	0	1	0	0
LINC02240	0	3	0	1
AC109464.1	0	0	0	0
AC109464.2	0	0	0	0
AC109458.1	0	0	0	0
HMGB1P22	0	0	0	0
RN7SKP117	0	0	0	0
AC109471.1	0	0	0	0
AC010587.2	0	0	0	0
AC010587.1	0	0	0	0
RPSAP37	0	0	0	0
AC010235.1	0	0	0	0
LINC02039	0	0	0	0
GRAMD2B	36	48	121	86
AC093535.1	5	12	42	15
AC093535.2	0	1	6	11
ALDH7A1	83	110	145	128
RNU6-290P	0	1	0	0
PHAX	260	222	320	299
AC099513.1	1	2	1	1
TEX43	0	0	0	0
BOLA3P3	0	0	0	0
HSPE1P10	0	0	0	0
LMNB1-DT	0	0	0	0
RNU6-752P	0	0	0	0
LMNB1	34	42	24	18
MARCH3	47	55	31	16
C5orf63	24	25	33	24
AC005915.1	0	0	0	0
MRPS5P3	0	0	0	0
AC011416.1	0	0	0	0
SELENOTP2	0	0	0	0
AC011416.2	0	0	0	0
AC011416.3	2	1	2	1
MEGF10	122	125	170	142
AC010424.1	0	2	1	0
AC010424.2	0	0	1	0
HNRNPKP1	1	0	1	1
PRRC1	749	809	937	654
AC010424.3	0	0	0	0
CTXN3	0	0	0	0
AC022118.1	0	0	0	0
CCDC192	2	1	3	1
CUL1P1	0	0	0	1
AC068658.1	0	0	0	1
LINC01184	39	52	102	92
SLC12A2	231	257	279	169
KDELC1P1	2	0	2	1
FBN2	204	267	212	167
SLC27A6	1	2	2	3
AC008588.1	0	0	0	0
ISOC1	18	20	32	25
MIR4633	0	0	0	0
MIR4460	0	0	0	0
ADAMTS19-AS1	0	0	0	0
ADAMTS19	1	2	1	4
AC008591.1	28	25	25	26
KIAA1024L	0	0	0	0
CHSY3	324	281	342	251
RNU6ATAC10P	2	1	5	17
RNA5SP191	0	0	0	0
HSPA8P4	12	6	11	17
RNU7-53P	0	0	0	0
ARL2BPP4	0	0	0	1
AC005741.1	0	0	0	0
AC113367.1	0	0	0	0
AC113367.3	0	0	0	0
AC113367.2	1	0	0	0
HINT1	919	751	965	827
LYRM7	77	65	116	88
CDC42SE2	103	94	150	111
AC004777.1	0	0	0	0
RAPGEF6	37	48	39	30
AC008695.1	0	0	0	0
FNIP1	203	249	554	577
AC005593.1	1	0	0	0
MEIKIN	0	0	0	1
AC026398.1	0	0	0	0
AC034228.3	0	0	0	0
ACSL6	1	0	0	0
AC034228.1	0	0	0	0
AC034228.2	0	0	0	0
IL3	0	0	0	0
CSF2	0	0	0	0
RF00285	0	0	0	0
AC063976.3	0	0	0	0
AC063976.4	0	0	1	0
AC063976.1	0	0	0	0
P4HA2-AS1	360	244	266	176
P4HA2	6801	5389	4903	3543
AC063976.2	12	37	12	10
MIR6830	2	0	1	0
PDLIM4	872	781	931	571
SLC22A4	27	19	32	30
MIR3936HG	16	9	21	8
MIR3936	1	2	1	2
SLC22A5	52	72	95	83
C5orf56	13	26	110	130
AC116366.3	0	1	0	1
AC116366.2	0	2	2	2
AC116366.1	0	5	18	24
IRF1	33	41	135	148
IL5	0	3	0	0
RAD50	32	60	59	64
TH2LCRR	30	42	42	59
IL13	0	0	0	1
IL4	0	0	1	0
AC004039.1	1	1	1	1
KIF3A	86	82	118	75
CCNI2	0	4	12	10
SEPT8	417	378	565	376
SOWAHA	0	0	1	0
AC004775.1	0	0	1	0
SHROOM1	97	116	138	111
RNA5SP192	0	0	0	0
GDF9	116	96	166	146
UQCRQ	457	325	466	347
LEAP2	9	9	18	15
AFF4	960	1242	1286	1013
AC010240.2	7	7	8	11
ATP6V0E1P1	2	1	1	2
AC010240.3	0	2	0	0
AC010240.1	0	0	0	0
ZCCHC10	98	76	111	93
AC113410.1	2	0	0	1
HSPA4	913	730	1179	823
AC113410.3	0	1	1	0
AC113410.2	0	0	0	0
AC010307.2	0	0	1	0
AC010307.1	0	0	0	0
FSTL4	0	0	0	0
AC010307.3	0	1	0	0
AC010307.4	0	0	0	0
AC010608.1	0	0	0	0
MIR1289-2	0	0	0	0
AC010608.3	0	0	0	0
AC010608.2	0	0	0	0
AC005178.1	0	0	0	0
WSPAR	0	0	0	0
C5orf15	850	846	834	491
VDAC1	1787	1581	1843	1080
AC008608.2	4	3	6	3
AC008608.1	0	0	0	0
TCF7	54	87	65	54
SKP1	383	417	800	591
AC104109.3	0	0	0	0
PPP2CA	348	333	461	334
AC104109.4	1	0	0	1
MIR3661	35	46	57	45
AC104109.2	3	0	4	5
AC104109.1	0	0	0	0
CDKL3	8	5	13	6
UBE2B	36	59	84	55
AC109454.4	1	4	2	0
AC109454.2	2	1	1	2
CDKN2AIPNL	71	41	87	59
AC109454.1	0	0	0	0
AC109454.3	0	0	0	0
AC005355.1	0	0	0	0
RNU6-456P	0	0	0	0
LINC01843	0	0	2	0
RN7SL541P	0	0	0	0
AC005355.2	0	0	0	0
JADE2	188	249	819	905
SAR1B	401	325	585	371
RNU6-1311P	0	0	0	0
SEC24A	502	661	493	293
RNU6-1164P	0	0	0	1
RNU6-757P	0	0	2	1
CAMLG	273	277	260	257
DDX46	167	190	329	216
AC010301.1	0	0	0	0
C5orf24	192	206	257	199
AC006077.1	0	1	3	2
TXNDC15	351	320	629	439
PCBD2	31	32	35	24
AC006077.2	1	3	0	0
MTCYBP18	0	1	1	0
MTND6P4	0	0	1	0
MTND5P11	0	1	1	0
MTND4P12	0	1	0	0
MTND4LP30	0	0	0	0
MIR4461	0	0	0	0
MTND3P25	0	1	0	0
CATSPER3	1	1	1	1
PITX1	33	54	76	52
C5orf66	202	239	271	162
AC008406.3	1	0	0	1
C5orf66-AS1	0	0	0	0
AC008406.2	0	0	0	0
AC008406.1	0	0	0	0
C5orf66-AS2	2	6	1	1
H2AFY	758	778	894	572
AC026691.1	2	0	4	3
DCANP1	0	0	0	0
TIFAB	0	0	0	0
AC022092.1	0	0	0	0
NEUROG1	0	0	0	0
AC034206.1	0	0	0	0
CXCL14	696	591	332	4
SLC25A48	1	1	1	0
LINC01959	0	0	0	1
AC011431.1	0	0	0	0
MIR5692C1	0	0	0	0
AC114296.1	2	2	0	0
IL9	0	0	0	0
AC002428.2	0	0	0	0
AC002428.1	0	0	0	0
LECT2	1	3	0	0
FBXL21	0	2	0	0
TGFBI	39912	42163	35712	26487
VTRNA2-1	0	0	0	0
SMAD5-AS1	4	6	12	14
RF02173	0	0	0	0
SMAD5	485	574	688	506
RF02174	0	0	0	0
RF02175	0	0	1	0
RF02176	0	1	1	1
SMIM32	1	3	5	2
TRPC7	0	1	0	0
TRPC7-AS1	0	0	0	0
TRPC7-AS2	0	0	0	0
AC063980.1	0	0	0	0
HSPD1P18	0	0	0	0
HNRNPA1P13	0	0	0	0
AC112178.1	0	0	0	0
AC109439.2	0	0	0	0
AC109439.1	0	0	0	0
RNA5SP193	0	0	0	0
SPOCK1	609	996	1892	1943
KLHL3	96	127	161	170
MIR874	0	0	0	0
HNRNPA0	526	539	771	614
AC106791.2	2	0	0	0
NPY6R	3	12	6	10
AC106791.1	10	10	24	29
MYOT	5	2	6	10
PKD2L2	7	13	17	23
FAM13B	127	105	212	182
AC113382.1	5	8	15	15
AC113382.2	0	0	0	0
RNU6-1148P	0	0	0	0
WNT8A	0	0	0	0
NME5	6	5	24	22
RNU6-460P	2	0	0	0
RNU6-888P	0	0	0	0
BRD8	137	165	275	278
KIF20A	30	39	19	14
CDC23	234	215	302	209
GFRA3	0	0	0	0
RPS27AP18	0	0	0	0
CDC25C	12	17	16	22
FAM53C	205	236	413	335
AC104116.1	39	41	53	57
KDM3B	228	300	455	410
REEP2	35	38	65	43
AC113403.1	0	0	0	0
EGR1	113	246	202	132
RPL7P19	0	1	0	0
ETF1	611	589	935	579
HSPA9	1807	1453	1830	1438
SNORD63B	1	3	3	2
SNORD63	0	1	1	0
CTNNA1	1765	1668	2471	1835
AC113340.1	0	0	0	0
AC034243.1	0	0	0	0
LRRTM2	15	31	46	33
SIL1	830	678	1278	1245
RNA5SP194	0	1	0	0
AC011405.1	201	170	298	291
RPL12P21	0	0	1	0
RNU6-572P	0	0	0	0
MATR3	1457	1365	2198	1764
SNHG4	11	12	20	14
SNORA74D	27	12	23	12
SNORA74A	34	13	18	25
RNA5SP195	1	0	0	2
RN7SKP64	1	1	0	5
PAIP2	363	376	515	334
AC135457.1	128	117	167	102
SLC23A1	3	1	3	3
MZB1	0	1	1	0
PROB1	16	15	21	15
SPATA24	10	10	10	9
DNAJC18	64	68	110	78
AC142391.1	0	0	0	0
RNU5B-4P	0	0	0	0
ECSCR	0	0	0	0
SMIM33	0	0	1	1
TMEM173	22	32	171	145
AC138517.1	0	0	0	0
NCOA4P4	0	0	0	0
UBE2D2	342	322	470	383
AC010378.1	1	1	1	0
AC113361.1	0	2	2	2
CXXC5	385	433	468	324
CXXC5-AS1	3	5	4	3
AC008667.1	1	5	2	4
RNU6-236P	0	0	0	0
PSD2-AS1	1	0	1	0
AC008667.3	0	1	0	0
AC008667.4	0	0	0	0
PSD2	11	12	2	5
NRG2	10	11	52	39
AC008667.2	0	0	5	5
MALINC1	18	14	21	10
PURA	323	379	477	372
IGIP	64	81	74	63
AC011379.2	1	5	5	7
CYSTM1	76	72	154	127
AC011379.1	0	1	0	1
PFDN1	194	199	330	263
HBEGF	56	48	47	25
AC008438.2	0	0	1	1
SLC4A9	3	1	0	0
AC008438.1	1	1	0	0
RNU4-14P	0	0	0	0
ANKHD1	1	6	7	2
ANKHD1-EIF4EBP3	3	10	5	1
RF00279	0	0	0	0
SRA1	420	363	386	305
EIF4EBP3	6	4	4	7
APBB3	81	103	108	150
AC116353.4	0	0	0	0
MIR6831	0	0	0	0
SLC35A4	150	175	352	293
AC116353.5	0	0	0	0
RF00443	0	0	0	0
HAUS1P1	0	0	0	1
AC116353.1	0	0	0	0
CD14	5	3	9	7
NDUFA2	129	102	265	195
TMCO6	32	37	35	37
IK	501	502	846	726
MIR3655	0	0	0	0
WDR55	257	285	295	245
DND1	36	42	43	48
HARS	438	438	498	433
HARS2	167	149	266	206
ZMAT2	542	396	710	592
VTRNA1-1	0	0	0	0
VTRNA1-2	1	2	7	3
VTRNA1-3	4	2	9	3
AC116353.3	0	0	0	0
AC116353.2	0	0	0	0
PCDHA1	3	0	1	1
AC005609.5	0	0	0	1
PCDHA2	3	6	0	0
PCDHA3	9	2	3	3
PCDHA4	6	5	3	8
PCDHA5	0	2	0	2
PCDHA6	7	3	7	6
PCDHA7	3	4	4	7
PCDHA8	1	2	2	1
PCDHA9	0	2	2	1
AC005609.2	0	0	1	0
PCDHA10	1	3	3	3
PCDHA14	0	0	0	0
AC005609.4	0	0	0	0
PCDHA11	0	0	1	7
PCDHA12	0	0	3	1
AC005609.3	0	0	0	0
AC005609.1	1	0	0	0
PCDHA13	1	0	2	0
PCDHAC1	1	1	1	0
AC010223.1	0	0	0	0
PCDHAC2	0	0	0	1
AC244517.5	5	2	4	12
PCDHB1	0	0	0	1
AC244517.9	0	0	0	0
PCDHB2	10	5	19	22
AC244517.2	2	3	4	5
PCDHB3	0	3	4	2
AC244517.1	0	0	0	0
PCDHB4	3	3	4	6
PCDHB5	7	9	18	22
AC244517.11	4	1	11	6
PCDHB6	11	4	4	1
PCDHB17P	0	0	0	0
AC244517.12	0	0	0	0
PCDHB7	11	5	10	19
PCDHB8	2	0	3	9
AC244517.8	0	0	0	0
PCDHB16	6	8	10	9
AC244517.6	0	0	0	0
AC244517.4	6	8	7	1
PCDHB9	9	3	5	12
AC244517.7	0	1	1	0
PCDHB10	3	5	14	7
PCDHB11	4	8	12	9
PCDHB12	0	1	3	4
PCDHB13	2	9	10	9
PCDHB14	15	17	24	31
AC244517.10	0	0	0	0
PCDHB18P	1	3	1	3
PCDHB19P	0	0	2	0
PCDHB15	7	2	5	5
AC244517.3	1	0	0	0
TAF7	398	339	652	564
SLC25A2	0	0	1	0
AC005618.1	8	5	20	13
PCDHGA1	6	6	1	11
PCDHGA2	9	10	18	12
PCDHGA3	7	4	15	15
PCDHGB1	6	19	30	24
AC005618.3	4	3	3	9
PCDHGA4	19	35	35	47
PCDHGB2	13	30	32	37
PCDHGA5	8	20	15	20
PCDHGB3	27	30	46	52
PCDHGA6	21	34	41	48
PCDHGA7	19	34	34	34
PCDHGB4	25	51	77	82
PCDHGA8	11	12	26	17
PCDHGB5	37	66	86	105
PCDHGA9	13	21	25	28
PCDHGB6	29	22	42	33
PCDHGA10	46	72	85	82
PCDHGB7	51	75	99	86
PCDHGA11	41	63	64	58
PCDHGB8P	4	12	10	15
AC005618.2	3	2	3	4
PCDHGA12	144	202	274	208
PCDHGB9P	5	10	18	12
AC008781.3	0	1	1	2
PCDHGC3	163	264	283	248
RN7SL68P	1	0	1	1
PCDHGC4	8	20	8	17
PCDHGC5	12	14	24	13
DIAPH1	169	285	336	303
AC008781.2	2	2	2	5
RPS27AP10	0	1	0	0
AC008781.1	35	46	51	29
HDAC3	381	370	355	326
RELL2	52	48	56	61
FCHSD1	244	216	260	298
ARAP3	35	28	55	67
AC005753.1	0	0	0	0
PCDH1	2	12	2	2
AC005740.1	0	0	0	0
KIAA0141	216	234	240	242
PCDH12	8	9	2	9
AC005740.4	0	1	3	1
RNF14	203	185	310	310
AC005740.3	15	14	27	27
GNPDA1	133	125	263	256
AC005740.2	0	0	0	0
NDFIP1	518	571	1117	898
AC091825.1	9	7	19	28
SPRY4	71	126	119	70
RF02038	2	1	1	1
RF02039	0	0	0	0
SPRY4-AS1	8	7	10	12
RPS12P10	0	0	0	0
FGF1	388	440	160	62
AC005592.1	0	0	0	0
LINC01844	1	0	0	1
ARHGAP26	13	16	47	31
ARHGAP26-AS1	0	0	0	0
AC008533.1	0	0	0	0
ARHGAP26-IT1	0	0	1	0
NR3C1	438	466	1087	939
RPL7P21	0	0	1	1
AC091925.2	0	0	1	0
AC091925.1	0	0	0	0
AC016598.1	0	0	0	0
RNU7-156P	0	0	0	0
AC016598.2	0	0	0	0
AC008696.2	0	0	0	0
MIR5197	0	0	0	0
AC008696.1	0	0	0	0
HMHB1	0	0	0	0
RN7SL87P	0	0	1	0
YIPF5	620	548	773	539
KCTD16	12	29	37	22
AC008652.1	0	2	2	2
CKS1BP5	0	0	0	0
AC008716.1	0	0	0	0
RN7SKP246	0	0	0	0
NAMPTP2	0	0	0	0
AC132803.1	0	2	3	4
ASS1P10	1	2	5	8
AC137770.1	0	0	0	2
AC008700.1	5	2	4	10
PRELID2	49	72	67	63
AC011411.1	1	4	2	5
GRXCR2	0	0	0	0
SH3RF2	3	9	72	82
AC005351.1	0	0	1	1
PLAC8L1	5	1	4	5
AC091887.1	19	15	14	10
LARS	1174	957	1111	837
AC091959.2	4	1	1	0
AC091959.1	1	1	0	0
AC091959.3	0	0	0	0
RBM27	49	47	94	52
RNU7-180P	0	0	0	0
AC011396.2	0	0	0	0
POU4F3	1	1	1	0
AC011396.3	0	0	0	0
AC011396.1	0	0	0	0
TCERG1	256	284	360	233
GPR151	0	0	0	1
AC008728.1	0	0	0	0
PPP2R2B	0	1	0	0
RNA5SP196	0	0	0	0
RN7SL791P	0	0	0	0
KRT8P48	0	0	0	1
PPP2R2B-IT1	0	0	0	0
STK32A-AS1	0	0	0	0
STK32A	8	7	8	11
DPYSL3	2101	2491	2281	1319
AC011373.1	1	1	1	2
JAKMIP2-AS1	0	3	2	1
JAKMIP2	2	3	10	0
SPINK1	5	3	3	0
AC011352.2	1	3	1	4
SCGB3A2	3	6	1	1
C5orf46	55	32	268	182
AC011352.1	4	0	3	3
AC011352.3	0	0	5	9
EEF1GP2	0	0	0	0
SPINK5	0	1	1	0
SPINK14	0	0	0	0
SPINK6	1	0	0	0
HMGN1P16	0	0	0	0
MARCOL	0	0	0	0
SPINK13	0	1	4	2
AC091948.1	2	2	7	5
PGBD4P3	1	0	0	1
SPINK7	0	1	0	1
SPINK9	0	0	1	0
AC091948.2	0	0	0	0
FBXO38	250	248	402	316
AC114939.1	2	1	0	0
HTR4	0	0	1	0
AC008627.1	0	0	0	0
ADRB2	2	1	2	1
SH3TC2	11	3	9	8
AC116312.1	0	0	0	0
RNU6-732P	0	0	0	0
MIR584	0	0	0	0
SH3TC2-DT	0	1	0	0
RN7SKP145	0	0	0	0
ABLIM3	198	251	622	399
AC012613.1	0	2	0	0
AC012613.2	22	20	57	45
AFAP1L1	80	66	214	232
GRPEL2	164	123	130	102
GRPEL2-AS1	24	21	17	18
PCYOX1L	64	89	92	68
IL17B	58	70	7	3
AC131025.1	0	1	1	0
CARMN	376	562	519	413
AC131025.2	25	37	39	38
MIR143	0	0	0	0
MIR145	1	2	1	1
CSNK1A1	986	940	1266	946
AC021078.1	53	99	63	48
RPL29P14	6	3	2	2
ARHGEF37	73	95	132	84
RNU6-588P	0	0	0	0
RN7SL868P	0	0	0	0
PPARGC1B	12	15	18	10
MIR378A	0	0	0	0
PDE6A	4	1	1	1
AC008427.1	0	0	0	0
SLC26A2	1057	999	1223	710
TIGD6	97	109	168	117
HMGXB3	604	755	727	495
AC011406.1	1	0	1	2
RPS20P4	0	3	0	1
CSF1R	14	17	30	23
RPL7P1	3	1	3	6
PDGFRB	1575	2003	6524	6657
CDX1	3	4	0	6
SLC6A7	3	6	4	8
CAMK2A	58	81	6	3
ARSI	359	289	99	91
TCOF1	100	129	168	145
CD74	21	44	398	511
RPS14	5182	4655	3179	3051
NDST1-AS1	4	4	13	12
NDST1	549	639	1528	1485
SYNPO	224	336	213	233
AC011383.1	0	0	0	0
MYOZ3	5	4	10	5
AC008453.1	3	2	2	2
RBM22	135	127	175	172
DCTN4	331	455	638	526
SMIM3	448	451	1332	955
IRGM	0	2	1	0
ZNF300	38	34	75	66
ZNF300P1	12	17	30	42
AC022106.1	0	0	0	0
AC022106.2	0	0	0	0
GPX3	59	117	274	247
TNIP1	318	364	405	397
ANXA6	1560	1413	3376	3035
AC008641.1	0	0	0	0
AC011342.1	0	2	2	2
CCDC69	161	123	383	310
GM2A	222	243	399	287
SLC36A3	0	0	0	1
SLC36A2	0	1	0	0
AC008385.1	0	0	0	0
AC034205.2	0	0	0	0
AC034205.1	0	0	0	0
AC034205.3	0	0	0	0
SLC36A1	129	168	270	156
RNA5SP197	0	0	0	0
FAT2	4	2	6	10
AC011337.1	0	1	2	3
MIR6499	0	0	0	0
AC011374.1	0	0	0	0
SPARC	119885	119962	88046	44687
CLMAT3	4446	4928	3545	1867
RN7SKP232	0	0	0	0
AC011374.2	2	4	0	0
ATOX1	197	161	280	269
AC091982.1	3	2	2	1
RPLP1P6	16	7	18	14
AC091982.3	3	12	10	6
G3BP1	1114	977	1550	1197
GLRA1	4	2	0	1
AC091982.2	0	0	0	0
RNA5SP198	0	1	0	0
LINC01933	0	0	3	1
NMUR2	0	0	0	0
AC008571.1	0	0	0	0
LINC01470	0	0	0	0
GRIA1	1	2	8	10
RN7SL177P	0	0	0	0
LINC01861	0	0	0	0
AC091962.1	0	0	1	0
FAM114A2	227	164	258	199
MFAP3	157	137	219	152
GALNT10	1410	1349	1373	866
SAP30L-AS1	7	29	19	14
HNRNPA3P7	0	4	1	0
MIR1294	0	0	2	0
RN7SL655P	1	0	0	0
SAP30L	79	99	233	198
HAND1	0	0	0	0
AC026688.2	0	0	0	0
AC026688.1	0	0	0	0
CIR1P1	0	1	0	0
MIR3141	0	1	0	0
MIR1303	0	0	0	0
LARP1	649	926	983	903
RN7SL803P	0	0	0	0
AC008379.1	0	0	2	0
FAXDC2	68	71	181	173
MIR378H	0	0	1	0
CNOT8	348	341	488	414
GEMIN5	158	213	237	155
MRPL22	126	71	144	126
AC008410.1	0	0	0	0
KIF4B	1	0	0	0
AC010476.1	0	0	0	0
AC010591.1	0	0	0	0
AC008725.1	0	0	0	0
RNA5SP199	0	0	0	0
SGCD	370	392	262	179
AC027308.1	2	1	1	0
AC025434.1	0	1	2	0
RNU6-556P	0	0	0	0
PPP1R2B	0	0	1	0
TIMD4	0	0	1	0
APOOP1	0	0	0	0
HAVCR1	0	0	0	0
HAVCR2	0	3	12	17
AC011377.1	0	0	1	0
MED7	53	40	72	59
ITK	0	0	2	1
FAM71B	0	0	0	0
AC010609.1	0	0	0	0
AC009185.1	0	0	0	0
CYFIP2	24	30	21	24
FNDC9	0	1	0	0
AC008676.2	0	0	1	1
AC008676.1	2	0	0	1
ADAM19	59	60	74	32
AC008676.3	0	0	0	0
NIPAL4	0	0	1	0
AC106801.1	0	0	0	0
RNU6-390P	0	0	0	0
AC008694.2	0	0	0	0
SOX30	0	0	0	0
C5orf52	0	0	0	0
AC008694.1	0	0	0	0
THG1L	126	119	168	163
LSM11	67	83	100	76
AC026407.1	0	0	0	0
CLINT1	832	780	905	667
RNU6-260P	0	1	0	0
AC008677.2	0	1	0	1
RNU2-48P	0	0	0	0
MARK2P11	0	0	0	0
AC008677.1	0	0	1	0
AC008677.3	0	0	0	0
AC025437.5	0	0	0	0
AC025437.4	0	0	0	0
AC025437.6	0	0	0	0
AC025437.3	0	0	0	0
AC025437.2	0	0	0	0
AC025437.1	0	0	0	0
LINC02227	0	0	0	0
AC091979.1	0	0	0	0
AC091979.2	0	0	0	0
AC091939.1	0	0	0	1
EBF1	110	163	771	755
AC136424.2	1	5	16	10
AC136424.1	0	4	22	14
LINC02202	1	6	38	43
AC134043.2	1	3	17	13
RNF145	775	747	742	467
AC134043.1	0	0	1	0
LINC01932	0	0	0	0
RF00263	0	0	0	1
UBLCP1	69	56	126	96
AC008691.1	1	0	4	4
IL12B	0	0	0	2
RNU4ATAC2P	0	0	0	0
LINC01845	1	1	0	1
AC008703.1	0	0	0	0
